trial_number,params,pr_auc_mean,pr_auc_std,training_time,objective_value
50,"{'n_estimators': 480, 'learning_rate': 0.08288905171202184, 'num_leaves': 97, 'max_depth': 14, 'feature_fraction': 0.5990554500360858, 'bagging_fraction': 0.7761592786784026, 'bagging_freq': 8, 'min_data_in_leaf': 49, 'lambda_l1': 1.9086201750098106, 'lambda_l2': 5.957440751898847, 'min_split_gain': 0.4688526483141598, 'min_child_weight': 0.004616425007652392}",0.6049535862176859,0.013076287946892914,13.357178211212158,0.6049535862176859
51,"{'n_estimators': 433, 'learning_rate': 0.11973699413193793, 'num_leaves': 84, 'max_depth': 12, 'feature_fraction': 0.7433259805104938, 'bagging_fraction': 0.910531861960552, 'bagging_freq': 9, 'min_data_in_leaf': 39, 'lambda_l1': 0.29243144463148396, 'lambda_l2': 2.1759218825221334, 'min_split_gain': 0.3273008806488825, 'min_child_weight': 0.006876805327239641}",0.6182871515640621,0.01687918186239908,11.599788188934326,0.6182871515640621
52,"{'n_estimators': 427, 'learning_rate': 0.11040657782200339, 'num_leaves': 82, 'max_depth': 12, 'feature_fraction': 0.7195583408691818, 'bagging_fraction': 0.9740043928357394, 'bagging_freq': 9, 'min_data_in_leaf': 41, 'lambda_l1': 0.07937499109483875, 'lambda_l2': 1.2710707189333912, 'min_split_gain': 0.3499008801299115, 'min_child_weight': 0.0029598266660064722}",0.6259589423046473,0.0065056028739586,11.47087550163269,0.6259589423046473
53,"{'n_estimators': 452, 'learning_rate': 0.13518130471120482, 'num_leaves': 90, 'max_depth': 10, 'feature_fraction': 0.7047938957793662, 'bagging_fraction': 0.9739996407152385, 'bagging_freq': 10, 'min_data_in_leaf': 56, 'lambda_l1': 0.8962828271401796, 'lambda_l2': 1.2956860366698915, 'min_split_gain': 0.14072109661037865, 'min_child_weight': 0.002161885379564729}",0.6252500172054005,0.01639018663383993,10.784672021865845,0.6252500172054005
54,"{'n_estimators': 419, 'learning_rate': 0.1356046598837873, 'num_leaves': 91, 'max_depth': 10, 'feature_fraction': 0.6765107979307937, 'bagging_fraction': 0.9744343809192698, 'bagging_freq': 10, 'min_data_in_leaf': 58, 'lambda_l1': 1.2633783730092834, 'lambda_l2': 1.4576106953322976, 'min_split_gain': 0.14911630884149468, 'min_child_weight': 0.001737417962489351}",0.6237952379463977,0.015583953241795163,9.81725525856018,0.6237952379463977
55,"{'n_estimators': 371, 'learning_rate': 0.16113587349564643, 'num_leaves': 91, 'max_depth': 10, 'feature_fraction': 0.6468919752041896, 'bagging_fraction': 0.9722863052587966, 'bagging_freq': 10, 'min_data_in_leaf': 57, 'lambda_l1': 1.3495219490763701, 'lambda_l2': 1.3040075287784325, 'min_split_gain': 0.13807614978818042, 'min_child_weight': 0.0019275183981682232}",0.622340616635013,0.010890782134823902,8.882613182067871,0.622340616635013
56,"{'n_estimators': 389, 'learning_rate': 0.0745358615300751, 'num_leaves': 99, 'max_depth': 12, 'feature_fraction': 0.6810944259916016, 'bagging_fraction': 0.9850413901156191, 'bagging_freq': 10, 'min_data_in_leaf': 53, 'lambda_l1': 1.9833782865685432, 'lambda_l2': 0.48736609202220205, 'min_split_gain': 0.05382778155075698, 'min_child_weight': 0.0014283698873549923}",0.6213114639208039,0.013509485452851631,14.773519039154053,0.6213114639208039
57,"{'n_estimators': 349, 'learning_rate': 0.09138604973519804, 'num_leaves': 87, 'max_depth': 13, 'feature_fraction': 0.7738857567680022, 'bagging_fraction': 0.9441700229920933, 'bagging_freq': 10, 'min_data_in_leaf': 68, 'lambda_l1': 0.9032817326955338, 'lambda_l2': 1.5666081313793487, 'min_split_gain': 0.1765706223645797, 'min_child_weight': 0.01726850420713921}",0.6189139553429168,0.01080379447748462,12.646029949188232,0.6189139553429168
58,"{'n_estimators': 414, 'learning_rate': 0.10472091131265879, 'num_leaves': 91, 'max_depth': 9, 'feature_fraction': 0.41687177634420697, 'bagging_fraction': 0.9974629274476167, 'bagging_freq': 9, 'min_data_in_leaf': 78, 'lambda_l1': 1.5068901752146164, 'lambda_l2': 1.1147867514535412, 'min_split_gain': 0.11928620584293564, 'min_child_weight': 0.004622019365401105}",0.6175469794828458,0.010093313909358193,12.378327131271362,0.6175469794828458
59,"{'n_estimators': 200, 'learning_rate': 0.05514779695642091, 'num_leaves': 96, 'max_depth': 11, 'feature_fraction': 0.7319829332374472, 'bagging_fraction': 0.9686658272987994, 'bagging_freq': 10, 'min_data_in_leaf': 55, 'lambda_l1': 0.9057734501830444, 'lambda_l2': 0.44029233737612417, 'min_split_gain': 0.15408646859213465, 'min_child_weight': 0.002441130710999353}",0.6166092730779494,0.009915994203937767,13.217920780181885,0.6166092730779494
